NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",491,0
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",3721,1
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",3402,2
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",368,3
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",1484,4
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",2487,5
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",1608,6
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",1462,7
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",3495,8
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",3583,9
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",1747,10
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",344,11
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",3343,12
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",2191,13
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",2986,14
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",3527,15
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",3748,16
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",930,17
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",1560,18
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",1549,19
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",3423,20
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",3464,21
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",1646,22
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",2823,23
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",2022,24
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",1255,25
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",1691,26
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",3414,27
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",1362,28
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",2845,29
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",2333,30
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",2005,31
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",2937,32
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",1628,33
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,"C",3122,34
